"CEindex","TotalExpLastQ"
1,27688.0501
2,4891.4
3,10513.2501
4,11577
5,17383.8
6,10190.9999
7,2274
8,29113.8248
9,5529.4
10,36529.5499
11,8633
12,3302
13,45797.5002
14,6821.2501
15,27951.2499
16,9454.9001
17,6043.5001
18,71634.5868
19,19374.55
20,12849.6499
21,16085.75
22,14068.75
23,20133.0501
24,13719.3499
25,7000.4
26,6665.8
27,5620.4
28,30826.4368
29,7840
30,7038.75
31,2368.4
32,22032.1999
33,10428.8
34,24116.5867
35,8103
36,5925.0001
37,5487
38,5277.0001
39,22519.25
40,34452.5867
41,8850.4499
42,7406.8999
43,17293.25
44,7434.4
45,17299.5501
46,25081
47,11797.7
48,3634.15
49,4297
50,5881.45
51,5717.9999
52,8696.8499
53,17545.55
54,12747.0001
55,8276
56,41345.9001
57,6605.8
58,22602.0733
59,9737.5
60,9455.4999
61,2110
62,6220.8
63,8099.8499
64,3215
65,8252.9
66,8968.2001
67,15081.05
68,7684.2501
69,6397.8
70,5249.4
71,23366.5
72,13426
73,18375.2502
74,4888.95
75,10100.15
76,13727.7502
77,3214.4
78,2643
79,6958.25
80,8896.3999
81,8704.7
82,9707.6501
83,16206.4501
84,10163.8
85,19508.5001
86,12132.8001
87,5759.9501
88,15389.2002
89,8692
90,22552
91,7769.65
92,8087.0499
93,5389.5001
94,27574.0001
95,3507.7499
96,16600.8499
97,6396.6499
98,10127.35
99,12221.4
100,30850
101,5180
102,17060.5
103,5819.4
104,3665
105,12162.0001
106,12270.8
107,5953.15
108,10759.1001
109,4598.0501
110,11496.75
111,7848.8
112,3701
113,9250.0002
114,5419.8
115,7026.9
116,15929.9999
117,17404.1501
118,7027.2501
119,16747.7498
120,12624.4
121,23109.0001
122,11704.65
123,7227.9499
124,17736.4
125,2008.5
126,5046.4
127,18050.0001
128,18526.8001
129,7298.3501
130,18563.2501
131,42598.7501
132,27035.7001
133,9938.3368
134,18313.3368
135,2152.4
136,16369
137,33237.25
138,17728.2502
139,4835.1499
140,14404.9999
141,10241.3
142,13550.2868
143,15868.8
144,6273.75
145,21032.2501
146,5973.5
147,5481.7501
148,16072.0001
149,11684.0001
150,51832.75
151,6851.0999
152,6247.5
153,9086.2499
154,7451.15
155,13374.5499
156,10804.3
157,14999.6502
158,7175.2499
159,20975.8367
160,10023.65
161,5769.3499
162,7743
163,7075.7501
164,17087.6368
165,11339.15
166,19973.9999
167,14836.1499
168,2559
169,2564
170,16734.3501
171,13771.8
172,11920.8
173,9244.2501
174,15755.4
175,52600.9866
176,20859.4867
177,20662.25
178,13817.8999
179,5406.8999
180,5767.7499
181,13780.7501
182,7022.2501
183,3563.8
184,19999.8001
185,9145.9001
186,24253.6501
187,12874.9001
188,15362.1998
189,18729.2499
190,11863.0002
191,21916.0499
192,5244.7499
193,8842.4001
194,4174.25
195,9635.5001
196,10900.5001
197,12293.8001
198,4019.25
199,14179.5501
200,6030.4
201,6276.6001
202,5290.1
203,7660.1
204,11803.4001
205,33124.0001
206,12778.35
207,8026
208,3758
209,8818.7999
210,30449.6733
211,2317.5499
212,33243.0868
213,16983.75
214,4785
215,6949.4
216,6324.9001
217,8789.75
218,27019.3868
219,11154.75
220,8760.25
221,16596.2501
222,41191.6499
223,10143.3
224,13080.2499
225,12658.5999
226,9639.2501
227,16113.3998
228,13177.7501
229,16859.6
230,6428.9998
231,2251.4
232,7453.5501
233,9481.25
234,6624.6499
235,12089.1
236,27026.3367
237,6877.4
238,2525.4
239,16003.3999
240,25471.4367
241,5613.4
242,10028.9999
243,9213.0001
244,24309.9999
245,3939.4
246,5887.25
247,12827.25
248,31365.1368
249,11484.5001
250,14725.85
251,25206.6498
252,11524.8
253,4855.4
254,5007.2999
255,12383.2499
256,10570.4001
257,83979.3366
258,12654.5001
259,11885.8
260,6681.9001
261,11755.2499
262,13417.7501
263,6706.5
264,25950.2498
265,13722.75
266,14691.7368
267,13187.5001
268,55963
269,5059.4
270,9012
271,5856.5001
272,11640.5001
273,30309.25
274,57454.3368
275,39267.5
276,51298.15
277,21578.1501
278,8681.15
279,10856.5001
280,3011.4
281,14686.75
282,16322.5001
283,20603.5002
284,12046
285,19070.7502
286,2846
287,20667.5
288,6219.4
289,28411.0502
290,1653.4
291,9091.4
292,14582.5001
293,9507.8
294,3523.8
295,7245.4
296,13595.7999
297,7833.7501
298,14361.1499
299,10899.0001
300,18287.2502
301,12082.5001
302,3634.8
303,10764.7502
304,19334.3501
305,10965.4
306,9966.3999
307,17560.7501
308,10818.6499
309,9334.4
310,16531.3368
311,10659.65
312,30161.7503
313,19185.75
314,70165.3368
315,7088.0001
316,30357.3368
317,15949.7501
318,7408.45
319,7746.6001
320,10952.5001
321,1766.2501
322,3802
323,59738.2501
324,4976.2501
325,11900.8868
326,11185.95
327,22792.0001
328,7307.8
329,13668.8
330,16711.0001
331,12702.25
332,4923
333,4472
334,10085.2501
335,13335.2499
336,8377.4
337,8990
338,2495
339,4373.0001
340,3974.4
341,3279
342,10802.9001
343,60828.3368
344,8965.5001
345,38315.5161
346,33183.4999
347,6906.5001
348,351
349,26138.1
350,40489.6734
351,10206.8999
352,2763
353,13628.65
354,25737.7369
355,3507.4999
356,3147
357,11009.9
358,12857.5001
359,24380.2499
360,19358.4001
361,5209.5001
362,4877.9
363,9231.2999
364,35849.2
365,14983
366,14011.65
367,22871.4
368,5519.4
369,13822.9
370,9819.0501
371,7728.6
372,9797.2499
373,12030.95
374,18238
375,21321.5868
376,21032.8366
377,20636
378,7564.8499
379,13566.7502
380,11761.9
381,18554.2501
382,25621.9
383,13895.4
384,8018.6
385,28222.4
386,6565.4
387,17480.2
388,2958
389,3620.9
390,4716.25
391,1362
392,2777
393,14760.6501
394,5727.9999
395,8380.2502
396,113465.25
397,12849.4
398,39099.3368
399,8431.5499
400,19998
401,50223.5869
402,8050.4001
403,7934.8001
404,8180.75
405,7079.5001
406,3674
407,7469.9
408,7240.4
409,12471.75
410,10847.7001
411,14417.5001
412,11611.5
413,11488.4
414,7296
415,9833.5001
416,14297.7501
417,6727.8499
418,20290.4
419,4477.5
420,6334
421,4149
422,4137.0001
423,17864.7499
424,18407.9999
425,13078.4
426,3947
427,11871.8
428,4295.4
429,7599.5
430,13953.1
431,29005.3368
432,4136.0499
433,149409.0868
434,9014.5001
435,11758.3998
436,7968.6001
437,16122.9
438,16901.2499
439,11106
440,11623.5501
441,9784.2501
442,2348.5
443,25950.7499
444,14654.65
445,7150.5999
446,14337.2499
447,18271.25
448,17982.25
449,8438.7501
450,7720.55
451,4839.75
452,4272
453,4817.45
454,22217.9
455,8803.2
456,13978.5498
457,7075.7501
458,17284.65
459,21573.6999
460,21957.2502
461,13992.8999
462,9155.5001
463,16225.7501
464,28624
465,5567.7502
466,6518.4
467,7634.5
468,62636.3368
469,11672.75
470,3626
471,1754
472,5137.8
473,2594
474,3750.4
