"UrbanRural","TotalIncomeLastYear","Race","TotalExpLastQ","log_TotalIncome","log_TotalExp","Rural"
1,98600,1,5972.1667,11.4988265405907,8.69486507186629,0
1,24360,1,5854.5,10.1006977218238,8.67496587528878,0
1,80200,1,5506.6666,11.2922787938546,8.61371474630032,0
1,150500,1,8968.8912,11.9217183631711,9.10151733537211,0
1,130000,1,10092.8333,11.7752897294377,9.21958087670496,0
1,32836,1,5520.2667,10.3992807534682,8.61618145332139,0
1,1660,1,2110,7.41457288135059,7.65444322647011,0
1,111808,1,18065.7368,11.6245383934937,9.80177242880039,0
1,6204,1,1048.3333,8.73294952429643,6.95495684866993,0
1,106000,1,12749.25,11.5711943730942,9.45322772532699,0
1,183000,4,7093.0166,12.1172414318236,8.86686600153489,0
1,5010,1,16376.4,8.51919119407891,9.70359655303207,0
1,21528,6,9068.7001,9.97710969240674,9.11258421420523,0
1,33143,1,2842.25,10.4085868119287,7.95235127100922,0
1,100800,1,16928.4998,11.5208936346194,9.73675385926943,0
1,105000,1,8186.8334,11.5617156291397,9.01028245983509,0
1,100001,1,23244.1001,11.5129354649202,10.0538066196734,0
1,62150,6,25096.85,11.0373060969389,10.1304976192364,0
1,20712,5,3422.8333,9.93846852143137,8.13822393737352,0
1,157200,1,9457.2,11.9652741589772,9.1545316351476,0
1,62000,1,10761.6667,11.0348896640272,9.28374571948987,0
1,100000,1,12754.75,11.5129254649702,9.45365903022702,0
1,25082,1,2103.8333,10.129905736384,7.65151634068071,0
1,45164,1,6681.9001,10.7180555883004,8.80715767219135,0
1,8400,1,2381.6,9.03598698483141,7.77552780970157,0
1,61000,1,10814.25,11.0186291431554,9.28861998785487,0
1,40000,1,4369,10.5966347330961,8.38228942895144,0
1,62712,2,6520.9332,11.0463080958686,8.7827727735131,0
1,45000,1,3668.2501,10.7144177687525,8.20747001534853,0
1,100000,1,13595.7999,11.5129254649702,9.51751619314371,0
1,29076,2,1764.9333,10.2776683706045,7.47586817828505,0
1,40000,4,13166.9999,10.5966347330961,9.4854689707616,0
1,94200,1,14568.4,11.4531754605645,9.58661007847146,0
1,8268,1,2479.4,9.02014792080166,7.81577187440405,0
1,126000,1,5929.4499,11.7440371859336,8.68768672209013,0
1,24000,1,8569.4001,10.0858091093301,9.05595300914171,0
1,68000,1,3476.9166,11.1272629841582,8.15390114552519,0
1,148808,1,19771.4,11.9104121633768,9.89199172802264,0
1,64132,1,7148.4001,11.0686987383087,8.87464384841179,0
1,24500,1,5080.05,10.1064283965328,8.53307638304378,0
1,44512,1,15129.6001,10.7035140947232,9.62440837550118,0
1,10000,1,2291.25,9.21034037197618,7.73685279915391,0
1,94200,1,9133.1667,11.4531754605645,9.11966775901607,0
1,37344,1,2200.9333,10.5279275350863,7.69663677666019,0
1,33186,1,17444.8,10.4098833792227,9.76679688895212,0
1,91100,1,4456.75,11.4197130832481,8.40217507983197,0
1,31810,1,39030.8101,10.3675359847432,10.5721066157881,0
1,65000,2,7611.2501,11.0821425488778,8.93738270806123,0
2,72010,2,7628.5,11.1845602772429,8.93964651255326,1
1,29616,1,5137.8,10.2960700348133,8.5443802512602,0
1,52000,1,10688.9,10.8589989975636,9.27696109881808,0
1,136250,1,4027,11.8222467125255,8.30077696085145,0
1,33034,1,5717.4,10.405292613081,8.6512694355822,0
2,47016,1,10872.7579,10.7582432482925,9.29401566458596,1
1,70612,1,13540.1501,11.1649553807092,9.5134146320769,0
1,11232,1,5542.9501,9.32652212626559,8.62028214703398,0
1,25000,2,3557.2501,10.1266311038503,8.1767430815374,0
1,461103,1,11688.6666,13.0413767243545,9.36637498465843,0
1,130112,2,12127.3333,11.776150896988,9.40321713440544,0
2,14376,1,5928.6667,9.5733154284634,8.68755462691388,1
1,30000,1,9012,10.3089526606443,9.10631230155214,0
1,90000,4,25520.25,11.4075649493124,10.147227533649,0
1,89000,1,15389.2002,11.3963916487143,9.64142125667158,0
1,92000,1,17023.4001,11.4295438560312,9.74234415303364,0
1,413302,1,16133.85,12.931933839588,9.68867482831722,0
1,60000,1,10262.7499,11.0020998412042,9.23627610425592,0
1,57879,1,52902.2602,10.9661099034711,10.8762013428316,0
1,66000,1,12702.25,11.0974100210086,9.44953442210909,0
1,39562,2,8806.5001,10.585624340576,9.0832453755276,0
1,147706,1,8755.6669,11.9029790905786,9.07745641543397,0
1,153000,1,10243.5001,11.9381932003746,9.23439864683154,0
1,27000,4,5389.5001,10.2035921449865,8.59220791377628,0
1,43000,1,5862.2001,10.6689553946757,8.67628025579572,0
1,60408,2,4431.8001,11.0088768254833,8.3965611236193,0
1,24100,2,7191.9501,10.0899671194787,8.88071763786265,0
1,17208,1,3293.9333,9.75312967094757,8.09983766159511,0
1,74875,1,14337.2499,11.2235753354178,9.57061631751914,0
2,28475,1,3811.9333,10.2567817883154,8.24589176724431,1
1,36223,1,4323.6,10.4974495551747,8.37184366754205,0
1,57000,1,3807.55,10.9508065468167,8.24474121665946,0
1,60250,1,6818.0333,11.0062578513529,8.82732633681617,0
1,16716,1,6065,9.72412162356781,8.71028982137815,0
1,10530,1,753.6667,9.26198360512802,6.62495022783808,0
1,25000,1,27843.8334,10.1266311038503,10.2343667989349,0
1,43000,1,5160.8334,10.6689553946757,8.54885335706192,0
1,17000,2,17660.0999,9.74096862303835,9.77906313099359,0
1,3216,1,2664.2667,8.07589363029886,7.88768413926196,0
1,26520,4,8350.3333,10.1856544442998,9.03005673321594,0
1,3216,1,2485.6,8.07589363029886,7.81826935807884,0
1,200000,1,24089.6667,12.2060726455302,10.0895382598968,0
1,134000,1,22739.5335,11.805595078933,10.0318602525822,0
1,3216,1,4957.8667,8.07589363029886,8.50873082639264,0
1,84108,1,15862.0333,11.3398569662883,9.67168368999801,0
1,38816,1,9864.05,10.5665878117438,9.19665211376888,0
1,28000,1,6897.2501,10.2399597891573,8.8388780749168,0
1,61568,1,13771.8,11.0278975340254,9.53037830213397,0
2,28560,1,6662.3999,10.2597624164535,8.80423504397099,1
1,75000,1,5167.4456,11.2252433925184,8.55013376416621,0
1,85000,1,13177.7501,11.3504065354725,9.48628508787007,0
1,86000,1,13153.4999,11.3621025752356,9.48444315428498,0
