Drama,Schedule,Producer,Rating,Date
Jeong Do-jeon,4,2,0.158,1/4/14
The Full Sun,1,2,0.0331,2/17/14
Three Days,2,1,0.1184,2/26/14
Cunning Single Lady,2,3,0.0846,2/26/14
God's Gift: 14 Days,1,1,0.0883,3/3/14
Hotel King,4,3,0.103,3/29/14
Angel Eyes ,4,1,0.0908,4/5/14
Jang Bo-ri is Here!,4,3,0.2065,4/5/14
Golden Cross,2,2,0.08,4/9/14
Glorious Day,4,1,0.0651,4/26/14
Big Man,1,1,0.0932,4/28/14
A New Leaf,2,3,0.084,4/3/14
Doctor Stranger,1,1,0.117,5/5/14
Triangle,1,3,0.08,5/5/14
You're All Surrounded,2,1,0.12,5/7/14
Endless Love,4,1,0.085,6/21/14
Gunman in Joseon,2,2,0.107,6/25/14
You Are My Destiny,2,3,0.0977,7/2/14
High School,3,2,0.0312,7/11/14
Temptation,1,2,0.089,7/14/14
"It's Okay, That's Love",2,1,0.1,7/23/14
Mama,4,3,0.1508,8/2/14
The Night Watchman's Journal,1,3,0.1108,8/4/14
Discovery of Love,1,2,0.0703,8/18/14
Ironman,2,2,0.0483,9/3/14
My Spring Days,2,3,0.0915,9/1/14
My Lovely Girl,2,1,0.062,9/17/14
Secret Door,1,1,0.063,9/22/14
Modern Farmer,4,1,0.0457,10/18/14
Legendary Witches,4,3,0.247,10/25/14
Rosy Lovers,4,3,0.1998,10/18/14
Pride and Prejudice,1,3,0.1038,10/27/14
Birth of a Beauty,4,1,0.073,11/1/14
Pinocchio,2,1,0.1063,11/12/14
The King's Face,2,2,0.0723,11/19/14
Healer,1,2,0.086,12/8/14
Punch,1,1,0.105,12/15/14
The Family is Coming,4,1,0.0321,1/3/15
Kill Me Heal Me,2,3,0.1013,1/7/15
Spy,3,2,0.05,1/9/15
Shine or Go Crazy,1,3,0.1131,1/19/15
My Heart Twinkle Twinkle,4,1,0.0335,1/17/15
Hogu's Love,1,1,0.011,2/9/15
The Jingbirok,4,2,0.112,2/14/15
Blood,1,2,0.0474,2/16/15
House of Bluebird,4,2,0.2368,2/21/15
Heard it through the Grapevine,1,1,0.103,2/23/15
Unkind Ladies,2,2,0.1206,2/25/15
Queen's Flower,4,3,0.1534,3/14/15
Angry Mom,1,3,0.08,3/18/15
The Girl Who Sees Smells,2,1,0.078,4/1/15
Splendid Politics,1,3,0.099,4/13/15
Divorce Lawyer in Love,4,1,0.045,4/18/15
Make a Woman Cry,4,3,0.1908,4/18/15
Who Are You: School 2015,1,2,0.0631,4/27/15
Warm and Cozy,2,3,0.0735,5/13/15
Orange Marmalade,3,2,0.034,5/15/15
Masked Prosecutor,2,2,0.057,5/2/15
Mask,2,1,0.1077,5/27/15
High Society,1,1,0.0901,6/8/15
Hello Monster,1,2,0.0474,6/22/15
The Time We Were Not in Love,4,1,0.0624,6/27/15
Scholar Who Walks the Night,2,3,0.0744,7/8/15
Assembly,2,2,0.0531,7/15/15
Mrs.Cop,1,1,0.1217,8/3/15
Yong-pal,2,1,0.1827,8/5/15
All About My Mom,4,2,0.275,8/15/15
The Virtual Bride,1,2,0.0503,8/17/15
I Have a Lover,4,1,0.0678,8/22/15
My Daughter Geum Sa-wol,4,3,0.2611,9/5/15
My Mom,4,3,0.1774,9/5/15
She Was  Pretty,2,3,0.133,9/16/15
The Merchant: Gaekju 2015,2,2,0.1059,9/23/15
Six Flying Dragons,1,1,0.1435,10/5/15
Cheer up!,1,2,0.0341,10/5/15
Glamorous Temptation,1,3,0.1002,10/5/15
The Village: Achiara's Secret,2,1,0.0596,10/7/15
Oh My Venus,1,2,0.0874,11/16/15
Sweet Savage Family,2,3,0.0606,11/18/15
Remember,2,1,0.15,12/9/15
Jang Yeong-sil,4,2,0.1155,1/2/16
Moorim School,1,2,0.0417,1/11/16
Five Enough,4,2,0.272,2/2/16
"Please Come Back, Mister",2,1,0.0446,2/24/16
Descendants of the Sun,2,2,0.2858,2/24/16
Happy Home,4,3,0.158,2/27/16
Marriage Contract,4,3,0.1959,3/5/16
Goodbye Mr. Black,2,3,0.0652,3/16/16
"My Lawyer, Mr. Jo",1,2,0.1288,3/28/16
Jackpot,1,1,0.0933,3/28/16
Monster,1,3,0.0973,3/28/16
Entertainer,2,1,0.077,4/2/16
The Master of Revenge,2,2,0.0733,4/27/16
Beautiful Gong Shim,4,1,0.1169,5/14/16
Lucky Romance,2,3,0.082,5/25/16
Doctors,1,1,0.184,6/2/16
Wanted,2,1,0.0637,6/22/16
Uncontrollably Fond,2,2,0.0941,7/6/16
W,2,3,0.1163,7/2/16
Love in the Moonlight,1,2,0.1829,8/15/16
Moon Lovers: Scarlet Heart Ryeo,1,1,0.0759,8/29/16
